ref                                                                    title                                            size  lastUpdated          downloadCount  voteCount  usabilityRating  
---------------------------------------------------------------------  ----------------------------------------------  -----  -------------------  -------------  ---------  ---------------  
datasets/aungpyaeap/supermarket-sales                                  Supermarket sales                                36KB  2019-05-27 07:08:04          86450       1050  0.88235295       
datasets/nikhil1011/predict-product-category-from-given-invoice        predict product category from given invoice     445KB  2019-07-06 20:14:54            714         13  0.5294118        
datasets/hhenry/finance-factoring-ibm-late-payment-histories           Finance Factoring - IBM Late Payment Histories   57KB  2019-06-17 16:27:31           1924         34  0.5882353        
datasets/dzoulou/invoice                                               invoice                                           4MB  2018-01-04 12:35:33           1041          9  0.11764706       
datasets/shobhitupadhyaya/product-category-from-invoice                product category from invoice                   445KB  2019-07-01 15:39:17            220          4  0.47058824       
datasets/mashlyn/online-retail-ii-uci                                  Online Retail II UCI                             15MB  2019-12-02 11:03:36           6128        100  1.0              
datasets/shashwatwork/phishing-dataset-for-machine-learning            Phishing Dataset for Machine Learning           234KB  2021-05-28 14:47:37           1654         34  0.9411765        
datasets/mathchi/online-retail-ii-data-set-from-ml-repository          Online Retail II Data Set from ML Repository     58MB  2021-06-14 07:41:48           1752         78  1.0              
datasets/d4rklucif3r/market-basket-optimisation                        Market Basket Optimisation                       47KB  2021-06-07 17:49:26            319         19  0.8235294        
datasets/manishthem/text-extraction-for-ocr                            Text extraction for OCR                          34MB  2021-03-20 02:32:56            962         11  0.75             
datasets/ilkeryildiz/online-retail-listing                             Online Retail List for RFM                       14MB  2021-09-23 20:15:01            572         41  1.0              
datasets/mathchi/online-retail-data-set-from-ml-repository             Online Retail Data Set from ML Repository         1KB  2020-07-05 18:53:40           1287         75  1.0              
datasets/cankatsrc/invoices                                            Invoices Dataset                                561KB  2022-01-18 10:00:47             66          7  0.5294118        
datasets/arbazkhan971/the-great-indian-hiring-hackathon                The Great Indian Hiring Hackathon                 7MB  2020-11-06 16:05:00             85         15  0.7647059        
datasets/shaz13/real-world-documents-collections                       Real World Documents Collections                425MB  2020-07-06 04:53:41            827         36  0.625            
datasets/bpkapkar/guess-the-product                                    Guess The Product                               158KB  2020-06-22 16:26:20            102          9  0.5882353        
datasets/jihyeseo/online-retail-data-set-from-uci-ml-repo              Online Retail Data Set from UCI ML repo          22MB  2018-01-22 14:16:21           7250         93  0.7058824        
datasets/himanshu007121/invoice-data                                   Invoice Data                                      2MB  2021-01-30 19:57:13             43          3  0.11764706       
datasets/ersany/online-retail-dataset                                  Online Retail Dataset                            22MB  2021-02-01 20:25:28            314         10  0.8235294        
datasets/koureasstavros/parts-revenue-from-automotive-industry-dealer  Parts Revenue from Automotive Industry Dealer    23KB  2021-09-28 15:35:42            137         11  0.9411765        
